SGP - spacketrack report 3,,,,,,,,,,,,,,,,,,,,,
Matlab,,,,,,,Python,,,,,,Diff SGP and Python,,,,,,,,
,x,y,z,xdot,ydot,zdot,x,y,z,xdot,ydot,zdot,,,,,,,,,
0,2328966.083,-5995216.038,1719978.735,2911.101021,-981.6403339,-7090.499329,2.33E+06,-6.00E+06,1.72E+06,2.91E+03,-9.82E+02,-7.09E+03,1.02E-08,0.00E+00,1.00E-08,1.00E-11,0.00E+00,-1.00E-11,,,
6,2456006.67,-6071942.436,1222958.812,2678.520674,-447.0573872,-7228.005861,2.46E+06,-6.07E+06,1.22E+06,2.68E+03,-4.47E+02,-7.23E+03,0.00E+00,-9.31E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
12,2567396.197,-6112497.333,713973.7753,2439.523117,98.85196041,-7318.896796,2.57E+06,-6.11E+06,7.14E+05,2.44E+03,9.89E+01,-7.32E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E-11,,,
18,2663032.778,-6115373.846,195736.3777,2195.316688,653.342433,-7361.691536,2.66E+06,-6.12E+06,1.96E+05,2.20E+03,6.53E+02,-7.36E+03,1.02E-08,0.00E+00,9.90E-10,1.00E-11,1.02E-12,-1.00E-11,,,
24,2742855.36,-6079135.507,-328862.8488,1947.078446,1213.463167,-7354.999221,2.74E+06,-6.08E+06,-3.29E+05,1.95E+03,1.21E+03,-7.35E+03,1.02E-08,-1.02E-08,0.00E+00,1.00E-11,0.00E+00,0.00E+00,,,
,,,,,,,,,,,,,,,,,,,,,
,spacetrack report3,,,,,,Diff b/w matlab and spacetrack,,,,,,,,,,,,,,
,x,y,z,xdot,ydot,zdot,x,y,z,xdot,ydot,zdot,,,,,,,,,
,2328965.942,-5995216.003,1719978.943,2911.10113,-981.64053,-7090.49922,-0.1410338003,3.53E-02,2.08E-01,1.09E-04,-1.96E-04,1.09E-04,,-7.08E+00,,2.61E+00,6.71E+00,1.92E+00,3.26E-03,-1.10E-03,-7.93E-03
,2456006.104,-6071942.322,1222959.778,2678.52119,-447.0585,-7228.00565,-0.5655804495,1.14E-01,9.66E-01,5.16E-04,-1.11E-03,2.11E-04,,-7.22E+00,,2.75E+00,6.79E+00,1.37E+00,3.00E-03,-5.01E-04,-8.09E-03
,2567394.775,-6112497.253,713977.1042,2439.52477,98.84824,-7318.89641,-1.42202482,7.99E-02,3.33E+00,1.65E-03,-3.72E-03,3.86E-04,,-7.31E+00,,2.87E+00,6.84E+00,8.02E-01,2.73E-03,1.07E-04,-8.19E-03
,2663031.799,-6115374.146,195739.1911,2195.31813,653.3393,-7361.69147,-0.9785619704,-3.00E-01,2.81E+00,1.44E-03,-3.13E-03,6.60E-05,,-7.35E+00,,2.98E+00,6.84E+00,2.22E-01,2.46E-03,7.28E-04,-8.24E-03
,2742854.706,-6079135.803,-328860.9161,1947.07947,1213.46101,-7354.99924,-0.6538847499,-2.96E-01,1.93E+00,1.02E-03,-2.16E-03,-1.93E-05,,-7.35E+00,,3.07E+00,6.80E+00,-3.66E-01,2.18E-03,1.36E-03,-8.23E-03
,,,,,,,,,,,,,,,,,,,,,
0,2328.965942,-5995.216003,1719.978943,2.91110113,-0.98164053,-7.09049922,,,,,,,,,,,,,,,
360,2456.006104,-6071.942322,1222.959778,2.67852119,-0.4470585,-7.22800565,Conclusion - the difference between the matlab and python is negligible,,,,,,,,,,,,,,
720,2567.394775,-6112.497253,713.9771042,2.43952477,0.09884824,-7.31889641,,so sgp written in python can be used,,,,,,,,,,,,,
1080,2663.031799,-6115.374146,195.7391911,2.19531813,0.6533393,-7.36169147,,the difference b/w matalb and sgp is also less,,,0.00001600166968,10^(-4) % so one can rely on output of ,,,,,,,,,
1440,2742.854706,-6079.135803,-328.8609161,1.94707947,1.21346101,-7.35499924,,,,,,matlab or python code of sgp,,,,,,,,,